id,x,y,z,radius,number_channel
0,4263,4692,0,48554,10
1,4051,2876,0,38569,8
2,5259,-2406,0,40486,10
3,5057,768,0,37828,7
4,421,-4321,0,40615,9
5,-4650,5299,0,33174,10
6,-4054,-690,0,45668,10
7,-4940,-4649,0,48368,7
8,4775,1625,0,30256,7
9,486,-2809,0,35450,10
10,-2062,5682,0,49975,8
11,387,-328,0,42559,8
12,2431,3116,0,37254,9
13,115,5748,0,39757,10
14,-3595,-2387,0,48702,7
15,5555,569,0,35072,7
16,2251,6037,0,41284,9
17,-3299,-4168,0,45110,8
18,5942,2489,0,39583,7
19,-562,-209,0,48901,10
