id,x,y,z,radius,number_channel
0,186,4820,0,36311,8
1,1757,849,0,41985,7
2,2921,2049,0,34236,8
3,3204,-4774,0,43292,8
4,4144,6135,0,45346,10
5,-978,-2523,0,39407,8
6,2709,4118,0,32790,7
7,6005,5837,0,32131,9
8,1017,3979,0,41685,8
9,-751,1227,0,47348,7
10,-475,2616,0,34189,8
11,3016,5740,0,34143,9
12,2657,1673,0,40033,9
13,6061,6715,0,47064,9
14,3892,3,0,48443,9
15,-525,-26,0,30446,10
16,1831,-1953,0,32478,8
17,-4709,-800,0,39537,7
18,-3371,-2954,0,42430,8
19,219,2660,0,39329,10
