id,x,y,z,radius,number_channel
0,-4241,1027,0,40540,8
1,3063,1935,0,30215,8
2,4096,3656,0,45785,7
3,6064,-185,0,43784,9
4,-4495,-3242,0,30444,7
5,3664,-2421,0,33857,9
6,-4332,-439,0,41422,8
7,-2147,1047,0,39452,10
8,4377,-1659,0,33055,8
9,3650,-4184,0,33977,8
10,6558,-3439,0,48314,7
11,3977,-3855,0,44793,8
12,1083,2790,0,45091,9
13,-1536,-1569,0,43966,8
14,2173,-1265,0,31738,7
15,-4937,140,0,47544,9
16,1196,5497,0,43627,7
17,5063,-1969,0,47133,10
18,1949,-1855,0,40215,10
19,-2387,-1956,0,35985,7
20,2024,3949,0,48830,8
21,-2457,658,0,47461,7
22,3357,963,0,32466,9
23,1858,4819,0,35985,7
24,-2625,6488,0,31751,10
