id,x,y,z,radius,number_channel
0,-3579,2903,0,34493,8
1,-1366,4270,0,34008,10
2,2701,-71,0,39258,9
3,-3044,4843,0,49403,8
4,-2468,-2881,0,38211,7
5,-2628,-411,0,49451,9
6,-402,-2231,0,46886,7
7,872,4277,0,32328,7
8,6937,6238,0,48433,9
9,3875,1949,0,34659,8
10,-2901,3138,0,43073,10
11,6036,2293,0,48420,7
12,2887,-1193,0,30309,10
13,-3686,4391,0,39603,10
14,-1665,-3507,0,42686,9
15,-43,-438,0,39081,9
16,-3301,-2389,0,42202,10
17,-1247,5271,0,39873,10
18,1931,4785,0,45498,10
19,5347,365,0,43378,7
