id,x,y,z,radius,number_channel
0,5716,844,0,40769,7
1,6021,-1805,0,43415,10
2,3752,2152,0,45410,7
3,6573,2718,0,43202,8
4,1345,2995,0,45137,7
5,254,-1928,0,46785,7
6,-377,5117,0,41495,7
7,6595,602,0,30382,7
8,6798,2050,0,41432,8
9,-4753,3522,0,40777,9
10,-3613,1921,0,42726,10
11,2125,1285,0,30409,8
12,-449,-4033,0,40075,8
13,2403,-107,0,39048,7
14,360,4711,0,43799,9
15,-4720,2990,0,49570,9
16,6141,5201,0,39615,7
17,-3179,-2444,0,35920,8
18,3428,5359,0,36796,9
19,5673,-1018,0,47029,8
20,2349,1733,0,31364,8
21,1843,-3808,0,47087,9
22,4994,-3748,0,45261,7
23,-4331,-1132,0,30103,9
24,6056,616,0,31651,9
